rotten_tomatoes_link,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,release_year,streaming_release_year,release_month,streaming_month
m/10011016-messenger,Fresh,90.0,162.0,Upright,75.0,21592.0,41,145,17,2009,2017,11,3
m/10011050-lake_mungo,Fresh,95.0,21.0,Upright,62.0,2856.0,2,20,1,2009,2016,2,8
m/10011079-country_teacher,Fresh,81.0,27.0,Upright,72.0,1723.0,10,22,5,2008,2016,3,9
m/1001115-apartment,Fresh,93.0,71.0,Upright,94.0,38188.0,17,66,5,1960,2016,6,3
m/10011154-golden_boys,Rotten,28.0,18.0,Spilled,22.0,801.0,6,5,13,2009,2016,4,11
m/1001117-ape,Rotten,43.0,7.0,Spilled,12.0,510.0,0,3,4,1940,2015,9,8
m/10011235-fame,Rotten,24.0,122.0,Spilled,36.0,194974.0,36,29,93,2009,2016,9,2
m/10011262-outrage,Fresh,77.0,60.0,Upright,76.0,6683.0,24,46,14,2009,2017,5,3
m/10011284-skin,Fresh,84.0,64.0,Upright,79.0,2118.0,28,54,10,2009,2016,10,3
m/10011303-helen,Fresh,67.0,21.0,Spilled,36.0,172.0,10,14,7,2008,2016,5,9
m/10011304-thirst,Fresh,81.0,115.0,Upright,75.0,19477.0,35,93,22,2009,2016,4,4
m/10011335-vengeance,Fresh,91.0,22.0,Upright,60.0,1881.0,10,20,2,2010,2017,8,2
m/1001138-april_fools_day,Rotten,50.0,20.0,Spilled,47.0,13437.0,1,10,10,1986,2013,3,8
m/10011388-blood_the_last_vampire,Rotten,25.0,53.0,Spilled,33.0,94562.0,15,13,40,2009,2014,7,2
m/10011435-shrink,Rotten,27.0,64.0,Spilled,50.0,42784.0,32,17,47,2009,2016,7,5
m/10011457-ong_bak_2_2009,Rotten,48.0,69.0,Spilled,53.0,21197.0,21,33,36,2009,2016,10,8
